name,lang,id,n,size(B),cpu-time(s),mem(KB),status,make-time(s),elapsed-time(s),threefour(s),onetwo(s),cpu-time-mean(s),cpu-time-variance,cpu-time-sample
binarytrees,lua,2,21,418,143.138,982589440,0,0.00,143.197,0.000,0.000,0.000,0.000,1
binarytrees,csharpaot,6,7,621,0.000,0,-12,11.71,0.000,0.000,0.000,0.000,0.000,1
binarytrees,csharpaot,6,21,621,0.000,0,-12,11.71,0.000,0.000,0.000,0.000,0.000,1
binarytrees,python3,1,21,597,123.810,445751296,0,5.16,36.731,0.000,0.000,0.000,0.000,1
binarytrees,python3,1,21,597,123.492,445943808,0,5.16,35.134,0.000,0.000,0.000,0.000,1
binarytrees,python3,1,21,597,123.580,445947904,0,5.16,35.030,0.000,0.000,0.000,0.000,1
binarytrees,python3,1,21,597,123.284,445800448,0,5.16,34.956,0.000,0.000,0.000,0.000,1
binarytrees,python3,1,21,597,123.184,445874176,0,5.16,34.974,0.000,0.000,0.000,0.000,1
binarytrees,python3,1,21,597,123.869,445820928,0,5.16,35.064,0.000,0.000,0.000,0.000,1
binarytrees,python3,1,21,597,125.339,445661184,0,5.16,36.096,0.000,0.000,0.000,0.000,1
binarytrees,python3,1,21,597,122.943,445648896,0,5.16,34.845,0.000,0.000,0.000,0.000,1
binarytrees,python3,1,21,597,123.741,445980672,0,5.16,35.149,0.000,0.000,0.000,0.000,1
binarytrees,python3,1,21,597,123.003,445841408,0,5.16,34.846,0.000,0.000,0.000,0.000,1
binarytrees,python3,1,21,597,123.288,445640704,0,5.16,34.991,0.000,0.000,0.000,0.000,1
binarytrees,python3,1,21,597,123.132,445677568,0,5.16,34.936,0.000,0.000,0.000,0.000,1
binarytrees,icx,8,7,607,0.008,4231168,0,4.32,0.142,0.000,0.000,0.000,0.000,1
binarytrees,icx,8,21,607,19.673,295710720,0,4.32,19.686,0.000,0.000,0.000,0.000,1
binarytrees,icx,8,21,607,19.585,295702528,0,4.32,19.599,0.000,0.000,0.000,0.000,1
binarytrees,icx,8,21,607,19.579,295739392,0,4.32,19.592,0.000,0.000,0.000,0.000,1
binarytrees,icx,8,21,607,19.524,295706624,0,4.32,19.537,0.000,0.000,0.000,0.000,1
binarytrees,icx,8,21,607,19.563,295706624,0,4.32,19.575,0.000,0.000,0.000,0.000,1
binarytrees,icx,8,21,607,19.592,295677952,0,4.32,19.606,0.000,0.000,0.000,0.000,1
binarytrees,icx,8,21,607,19.720,295698432,0,4.32,19.734,0.000,0.000,0.000,0.000,1
binarytrees,icx,8,21,607,19.857,295702528,0,4.32,19.869,0.000,0.000,0.000,0.000,1
binarytrees,icx,8,21,607,19.778,295706624,0,4.32,19.792,0.000,0.000,0.000,0.000,1
